title,rating,genre,popularity,member,duration,studios,aired
Nonton .hack//G.U. Returner Sub Indo,6.67,"['Adventure', 'Drama', 'Fantasy', 'Video Game']",Popularity: #4691,Members: 9272,Duration: 24 min,Studios: Bee Train,"Aired: Jan 18, 2007"
Nonton .hack//Roots Sub Indo,6.86,"['Adventure', 'Drama', 'Fantasy', 'Video Game']",Popularity: #2490,Members: 35312,Duration: 24 min per ep,Studios: Bee Train,"Aired: Apr 6, 2006 to Sep 28, 2006"
Nonton “Oshi no Ko” Sub Indo,8.67,"['Award Winning', 'Drama', 'Reincarnation', 'Seinen', 'Showbiz', 'Supernatural']",Popularity: #242,Members: 454500,Duration: 30 min per ep,Studios: Doga Kobo,"Aired: Apr 12, 2023 to Jun 28, 2023"
Nonton 07-Ghost Sub Indo,7.19,"['Action', 'Fantasy', 'Josei', 'Military', 'Mythology']",Popularity: #1134,Members: 104766,Duration: 23 min per ep,Studios: Studio Deen,"Aired: Apr 7, 2009 to Sep 22, 2009"
Nonton 100-man no Inochi no Ue ni Ore wa Tatteiru Sub Indo,6.51,"['Action', 'Drama', 'Fantasy', 'Isekai', 'Shounen']",Popularity: #831,Members: 149144,Duration: 23 min per ep,Studios: Maho Film,"Aired: Oct 2, 2020 to Dec 18, 2020"
Nonton 100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season Sub Indo,6.8,"['Action', 'Drama', 'Fantasy', 'Isekai', 'Shounen']",Popularity: #1445,Members: 76530,Duration: 23 min per ep,Studios: Maho Film,"Aired: Jul 10, 2021 to Sep 25, 2021"
Nonton 100% Pascal-sensei Sub Indo,5.66,"['Comedy', 'Kids']",Popularity: #9995,Members: 1166,Duration: 12 min per ep,Studios: OLM,"Aired: Apr 15, 2017 to Dec 16, 2017"
Nonton 11eyes Sub Indo,6.05,"['Action', 'Ecchi', 'Fantasy', 'Harem', 'Super Power']",Popularity: #1016,Members: 127105,Duration: 25 min per ep,Studios: Doga Kobo,"Aired: Oct 7, 2009 to Dec 23, 2009"
Nonton 12-sai.: Chicchana Mune no Tokimeki Sub Indo,6.4,"['Romance', 'School', 'Shoujo']",Popularity: #3758,Members: 16459,Duration: 24 min per ep,Studios: OLM,"Aired: Apr 4, 2016 to Jun 20, 2016"
Nonton 12-sai.: Chicchana Mune no Tokimeki 2nd Season Sub Indo,6.59,"['Romance', 'School', 'Shoujo']",Popularity: #5099,Members: 8100,Duration: 24 min per ep,Studios: OLM,"Aired: Oct 3, 2016 to Dec 19, 2016"
Nonton 16bit Sensation: Another Layer Sub Indo,6.92,"['Adult Cast', 'Comedy', 'Otaku Culture', 'Sci-Fi', 'Supernatural', 'Time Travel', 'Workplace']",Popularity: #3166,Members: 19897,Duration: 23 min per ep,Studios: Silver,"Aired: Oct 5, 2023 to Dec 28, 2023"
Nonton 18if Sub Indo,6.13,"['Mystery', 'Supernatural']",Popularity: #2905,Members: 21281,Duration: 23 min per ep,Studios: Gonzo,"Aired: Jul 7, 2017 to Sep 29, 2017"
Nonton 2.43: Seiin Koukou Danshi Volley-bu Sub Indo,6.14,"['Drama', 'School', 'Sports', 'Team Sports']",Popularity: #1921,Members: 44896,Duration: 23 min per ep,Studios: David Production,"Aired: Jan 8, 2021 to Mar 26, 2021"
Nonton 22/7 Sub Indo,6.8,"['Idols (Female)', 'Music']",Popularity: #3217,Members: 16920,Duration: 24 min per ep,Studios: A-1 Pictures,"Aired: Jan 11, 2020 to Mar 28, 2020"
Nonton 22/7: 8＋3=? Sub Indo,6.53,"['Idols (Female)', 'Music']",Popularity: #7052,Members: 3473,Duration: 24 min,Studios: A-1 Pictures,"Aired: Sep 16, 2020"
Nonton 3-gatsu no Lion Sub Indo,8.38,"['Childcare', 'Drama', 'Seinen', 'Strategy Game']",Popularity: #296,Members: 281173,Duration: 25 min per ep,Studios: Shaft,"Aired: Oct 8, 2016 to Mar 18, 2017"
Nonton 3-gatsu no Lion 2nd Season Sub Indo,8.92,"['Childcare', 'Drama', 'Seinen', 'Strategy Game']",Popularity: #567,Members: 199289,Duration: 25 min per ep,Studios: Shaft,"Aired: Oct 14, 2017 to Mar 31, 2018"
Nonton 30-sai made Doutei dato Mahoutsukai ni Nareru Rashii Sub Indo,7.66,"['Adult Cast', 'Boys Love', 'Comedy', 'Supernatural', 'Workplace']",Popularity: #3182,Members: 17418,Duration: 23 min per ep,Studios: Satelight,"Aired: Jan 11, 2024 to Mar 28, 2024"
Nonton 30-sai no Hoken Taiiku Sub Indo,6.62,"['Adult Cast', 'Comedy', 'Ecchi', 'Parody', 'Romance']",Popularity: #2723,Members: 26702,Duration: 13 min per ep,Studios: Gathering,"Aired: Apr 7, 2011 to Jun 23, 2011"
Nonton 3D Kanojo: Real Girl Sub Indo,6.85,"['Otaku Culture', 'Romance', 'School', 'Shoujo']",Popularity: #686,Members: 169490,Duration: 22 min per ep,Studios: Hoods Entertainment,"Aired: Apr 4, 2018 to Jun 20, 2018"
Nonton 3D Kanojo: Real Girl 2nd Season Sub Indo,7.67,"['Otaku Culture', 'Romance', 'School', 'Shoujo']",Popularity: #1259,Members: 101736,Duration: 22 min per ep,Studios: Hoods Entertainment,"Aired: Jan 9, 2019 to Mar 27, 2019"
Nonton 4-nin wa Sorezore Uso wo Tsuku Sub Indo,7.15,"['Comedy', 'Gag Humor', 'School', 'Shounen', 'Super Power', 'Supernatural']",Popularity: #3695,Members: 14087,Duration: 23 min per ep,Studios: Studio Flad,"Aired: Oct 16, 2022 to Dec 25, 2022"
Nonton 5-toubun no Hanayome ∬ Sub Indo,8.05,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']",Popularity: #282,Members: 430690,Duration: 24 min per ep,Studios: Bibury Animation Studios,"Aired: Jan 8, 2021 to Mar 26, 2021"
Nonton 5-toubun no Hanayome Movie Sub Indo,7.85,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']",Popularity: #1006,Members: 108893,Duration: 2 hr 16 min,Studios: Bibury Animation Studios,"Aired: May 20, 2022"
Nonton 5-toubun no Hanayome∽ Sub Indo,8,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']",Popularity: #2637,Members: 20224,Duration: 24 min per ep,Studios: Shaft,"Aired: Sep 2, 2023 to Sep 9, 2023"
Nonton 7 Seeds Sub Indo,6.56,"['Adventure', 'Drama', 'Mystery', 'Psychological', 'Romance', 'Sci-Fi', 'Shoujo', 'Survival', 'Suspense']",Popularity: #1661,Members: 66354,Duration: 25 min per ep,Studios: Gonzo,"Aired: Jun 28, 2019"
Nonton 7 Seeds 2nd Season Sub Indo,7.05,"['Adventure', 'Drama', 'Mystery', 'Psychological', 'Romance', 'Sci-Fi', 'Shoujo', 'Survival', 'Suspense']",Popularity: #2689,Members: 37068,Duration: 24 min per ep,Studios: Gonzo,"Aired: Mar 26, 2020"
Nonton 86 Sub Indo,8.3,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']",Popularity: #248,Members: 398228,Duration: 23 min per ep,Studios: A-1 Pictures,"Aired: Apr 11, 2021 to Jun 20, 2021"
Nonton 86 2nd Season Sub Indo,8.7,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']",Popularity: #450,Members: 280114,Duration: 23 min per ep,Studios: A-1 Pictures,"Aired: Oct 3, 2021 to Mar 19, 2022"
Nonton 86 Special Edition: Senya ni Akaku Hinageshi no Saku Sub Indo,6.9,"['Action', 'Drama', 'Military', 'Sci-Fi']",Popularity: #3012,Members: 25993,Duration: 23 min,Studios: A-1 Pictures,"Aired: Jun 27, 2021"
Nonton 91 Days Sub Indo,7.83,"['Action', 'Drama', 'Historical', 'Organized Crime', 'Suspense']",Popularity: #277,Members: 330509,Duration: 24 min per ep,Studios: Shuka,"Aired: Jul 9, 2016 to Oct 1, 2016"
Nonton 91 Days Special Sub Indo,6.9,"['Action', 'Drama', 'Historical', 'Organized Crime', 'Suspense']",Popularity: #2941,Members: 29517,Duration: 24 min,Studios: Shuka,"Aired: Jul 5, 2017"
Nonton A-Channel Sub Indo,6.94,"['CGDCT', 'Comedy', 'School']",Popularity: #2074,Members: 44699,Duration: 24 min per ep,Studios: Studio Gokumi,"Aired: Apr 8, 2011 to Jun 24, 2011"
Nonton A-Channel: +A-Channel Sub Indo,6.95,"['CGDCT', 'Comedy', 'School', 'Slice of Life']",Popularity: #4886,Members: 9833,Duration: 2 min per ep,Studios: Studio Gokumi,"Aired: May 25, 2011 to Oct 26, 2011"
Nonton A.I.C.O.: Incarnation Sub Indo,6.53,"['Action', 'Sci-Fi']",Popularity: #1879,Members: 54872,Duration: 24 min per ep,Studios: Bones,"Aired: Mar 9, 2018"
Nonton Aa! Megami-sama! (TV) Sub Indo,7.32,"['Comedy', 'Romance', 'Seinen', 'Supernatural']",Popularity: #1459,Members: 77870,Duration: 24 min per ep,Studios: AIC,"Aired: Jan 7, 2005 to Jul 8, 2005"
Nonton Aa! Megami-sama!: Sorezore no Tsubasa Sub Indo,7.55,"['Comedy', 'Harem', 'Romance', 'Seinen', 'Supernatural']",Popularity: #2661,Members: 35541,Duration: 24 min per ep,Studios: AIC,"Aired: Apr 7, 2006 to Sep 15, 2006"
Nonton Abarenbou Rikishi!! Matsutarou Sub Indo,6.08,"['Combat Sports', 'Seinen', 'Sports']",Popularity: #6542,Members: 4154,Duration: 22 min per ep,Studios: Toei Animation,"Aired: Apr 6, 2014 to Sep 28, 2014"
Nonton Absolute Duo Sub Indo,6.42,"['Action', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'School']",Popularity: #394,Members: 314739,Duration: 24 min per ep,Studios: 8bit,"Aired: Jan 4, 2015 to Mar 22, 2015"
Nonton ACCA: 13-ku Kansatsu-ka Sub Indo,7.66,"['Adult Cast', 'Detective', 'Drama', 'Fantasy', 'Mystery', 'Seinen']",Popularity: #1424,Members: 69719,Duration: 24 min per ep,Studios: Madhouse,"Aired: Jan 10, 2017 to Mar 28, 2017"
Nonton Accel World Sub Indo,7.21,"['Action', 'Romance', 'School', 'Sci-Fi', 'Video Game']",Popularity: #281,Members: 388341,Duration: 24 min per ep,Studios: Sunrise,"Aired: Apr 7, 2012 to Sep 22, 2012"
Nonton Accel World EX Sub Indo,7.09,"['Action', 'Romance', 'School', 'Sci-Fi', 'Video Game']",Popularity: #1885,Members: 59672,Duration: 24 min per ep,Studios: Sunrise,"Aired: Sep 13, 2012 to Jan 31, 2013"
Nonton Accel World: Infinite∞Burst Sub Indo,6.62,"['Action', 'Romance', 'School', 'Sci-Fi', 'Video Game']",Popularity: #2523,Members: 30168,Duration: 1 hr 22 min,Studios: Sunrise,"Aired: Jul 23, 2016"
Nonton Acchi Kocchi (TV) Sub Indo,7.47,"['Comedy', 'Gag Humor', 'Romance', 'School']",Popularity: #747,Members: 148326,Duration: 24 min per ep,Studios: AIC,"Aired: Apr 6, 2012 to Jun 29, 2012"
Nonton Action Heroine Cheer Fruits Sub Indo,6.54,"['Comedy', 'School', 'Slice of Life']",Popularity: #5485,Members: 4526,Duration: 24 min per ep,Studios: Diomedéa,"Aired: Jul 7, 2017 to Sep 29, 2017"
Nonton Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari Sub Indo,5.85,"['Action', 'Adult Cast', 'Mecha', 'Sci-Fi']",Popularity: #2853,Members: 21748,Duration: 24 min per ep,Studios: Production IMS,"Aired: Jan 7, 2016 to Mar 24, 2016"
